roi,neuron_count
ME_L_col_28_23,877
ME_L_col_26_29,877
ME_R_col_24_22,877
ME_L_col_10_09,877
ME_R_col_28_31,877
ME_R_col_28_17,877
ME_R_col_11_26,877
ME_L_col_29_19,877
ME_R_col_16_26,876
ME_L_col_17_21,876
ME_R_col_13_21,876
ME_R_col_17_31,876
ME_R_col_21_33,876
ME_R_col_29_34,876
ME_R_col_10_20,876
ME_L_col_29_22,876
ME_L_col_11_10,876
ME_R_col_26_35,875
ME_L_col_20_23,875
ME_L_col_28_19,875
ME_L_col_11_27,875
ME_R_col_31_33,875
ME_R_col_15_21,875
ME_R_col_32_28,874
ME_L_col_19_06,874
ME_R_col_21_25,874
ME_R_col_15_09,874
ME_L_col_31_33,874
ME_L_col_17_06,874
ME_L_col_22_26,873
ME_L_col_30_23,873
ME_R_col_09_07,873
ME_L_col_30_19,873
ME_L_col_27_19,873
ME_L_col_15_10,873
ME_L_col_27_14,873
ME_R_col_14_31,873
ME_L_col_16_31,873
ME_R_col_11_22,873
ME_R_col_24_35,873
ME_R_col_19_32,873
ME_L_col_10_07,873
ME_R_col_15_28,873
ME_R_col_13_23,873
ME_L_col_15_30,872
ME_L_col_11_14,872
ME_R_col_32_27,872
ME_R_col_18_29,872
ME_L_col_14_05,872
ME_L_col_14_17,872
ME_L_col_22_09,872
ME_L_col_21_34,872
ME_R_col_31_27,872
ME_R_col_22_26,871
ME_L_col_15_12,871
ME_R_col_13_22,871
LO_R_col_25_21,871
ME_L_col_10_08,871
ME_R_col_19_29,871
ME_R_col_19_25,871
ME_L_col_14_19,871
ME_L_col_32_32,871
ME_R_col_26_13,871
ME_L_col_28_30,871
ME_L_col_25_20,871
ME_R_col_11_07,871
ME_R_col_29_18,871
ME_L_col_26_20,870
ME_L_col_16_32,870
ME_L_col_20_19,870
ME_L_col_12_11,870
ME_L_col_20_26,870
ME_R_col_22_33,870
ME_L_col_29_24,870
ME_L_col_25_33,870
ME_L_col_24_23,869
ME_R_col_11_14,869
ME_L_col_30_21,869
ME_R_col_08_09,869
ME_R_col_21_29,869
ME_L_col_28_31,869
ME_R_col_17_28,869
ME_L_col_19_33,869
ME_R_col_32_29,868
ME_R_col_12_10,868
ME_L_col_33_32,868
ME_R_col_26_23,868
ME_R_col_24_29,868
ME_L_col_12_27,868
ME_L_col_08_19,868
ME_L_col_30_28,868
ME_R_col_15_29,868
ME_R_col_16_05,868
ME_L_col_30_29,868
ME_R_col_11_11,868
ME_L_col_19_07,867
ME_R_col_13_09,867
ME_R_col_25_29,867
ME_L_col_30_25,867
ME_L_col_27_20,867
ME_R_col_22_25,867
ME_L_col_13_16,867
ME_R_col_20_07,867
ME_R_col_12_13,867
ME_R_col_23_10,866
ME_L_col_19_25,866
ME_R_col_24_32,866
ME_L_col_13_23,866
ME_R_col_12_08,866
ME_R_col_21_30,866
ME_R_col_33_29,866
ME_L_col_25_19,866
ME_R_col_21_24,866
ME_R_col_10_08,866
