type,count
IN23B060,10
IN10B050,10
IN11B013,10
SNxx15,10
INXXX363,10
INXXX436,10
IN07B086,10
IN20A.22A015,10
IN13A035,10
IN03A064,10
IN06A106,10
IN23B056,10
IN14A023,10
IN07B079,10
IN13B079,10
IN08A034,10
IN19B089,10
IN12B059,10
IN12A044,10
IN08A047,10
IN13B056,10
IN16B077,10
IN08A031,10
SNpp61,10
SNpp48,10
IN20A.22A043,10
IN06B074,10
IN16B099,10
IN19B071,10
IN12B056,10
INXXX295,10
IN11B020,10
IN06A104,10
IN11B023,10
SNch05,10
AVLP040,9
SIP119m,9
Z_lvPNm1,9
SAD077,9
DL2d_adPN,9
CB1055,9
PVLP074,9
AVLP705m,9
LHAV2b2_a,9
WED015,9
SAD004,9
CB2539,9
SMP738,9
CB0956,9
lLN2P_c,9
PS055,9
CB1852,9
CB1685,9
v2LN3A1_b,9
WED145,9
LHAV1f1,9
PLP037,9
VP1l+_lvPN,9
PVLP111,9
LH002m,9
LHAV2a3,9
SIP146m,9
CB4088,9
LHPV3a3_b,9
PVLP033,9
LHPD2a1,9
ER3d_c,9
PLP103,9
SMP019,9
AVLP187,9
GNG319,9
WED031,9
LHAV4c2,9
CB4170,9
PLP172,9
SIP103m,9
SMP247,9
ANXXX202,9
SMP006,9
CB2572,9
aSP10C_a,9
Cm27,9
CB2440,9
AVLP055,9
CB4121,9
SLP160,9
CB1220,9
WEDPN17_c,9
AVLP469,9
CB1901,9
AVLP486,9
AMMC018,9
CB1604,9
LHAD1f4,9
LHAV2a2,9
SLP162,9
SLP028,9
LHAV4d5,9
CB1023,9
PLP086,9
PLP108,9
LHPV5d1,9
CB2792,9
MBON10,9
CB2448,9
PLVP059,9
SLP286,9
CB1201,9
CB2050,9
AMMC007,9
CB4023,9
GNG329,9
WED162,9
SIP089,9
CB1595,9
CRE054,9
SIP028,9
CB4208,9
CB2252,9
CB1168,9
CB1836,9
M_adPNm5,9
LHPV4h1,9
SLP241,9
vDeltaH,9
LHPD3a4_b,9
PS150,9
CB1457,9
CB1011,9
LHAV7a4,9
FB8F_b,9
SMP282,9
LHAV6c1,9
CB1330,9
LHAV5a2_a1,9
LHPD3a4_c,9
CB4107,9
SMP229,9
SMP008,9
FB2K,9
FB5S,9
AN07B062,9
AN07B085,9
CB1833,9
CB1789,9
PAM09,9
CB4134,9
AN19B104,9
IN08A050,9
IN08B085_a,9
INXXX230,9
IN00A031,9
IN07B055,9
IN04B031,9
IN23B043,9
IN03A066,9
IN13A029,9
IN13B026,9
IN03A069,9
IN04B013,9
IN06B069,9
IN01B020,9
IN19B043,9
IN14A090,9
IN16B061,9
IN03A060,9
IN13A047,9
IN19B090,9
IN10B028,9
IN13A030,9
IN07B054,9
IN08A048,9
ltm1-tibia MN,9
"IN09A056,IN09A072",9
IN11B014,9
IN13B044,9
IN20A.22A019,9
IN14A052,9
IN06B078,9
SNpp62,9
IN09A047,9
IN02A049,9
IN20A.22A050,9
IN06B056,9
IN03B070,9
IN07B099,9
IN23B049,9
IN04B015,9
IN23B074,9
IN01A073,9
IN19B086,9
