type,count
AN17B008,6
AN08B022,6
AN10B019,6
ANXXX098,6
DNg11,6
AN27X018,6
DNge111,6
AN05B099,6
AN10B020,6
AN08B034,6
AN17A003,6
AN08B024,6
AN04B023,6
AN09B009,6
AN09B033,6
AN08B026,6
DNg09_a,6
AN17A062,6
DNg12_e,6
DNpe009,6
DNg110,6
AN08B031,6
AN01B004,6
AN07B005,6
AN01B005,6
AN17A018,6
AN10B029,6
AN05B100,6
AN17A014,6
AN08B023,6
AN10B027,6
DNge114,6
DNg18_b,6
AN08B074,6
DNge089,6
AN07B052,6
AN16B078_d,6
DNge179,6
AN01B011,6
SApp14,6
AN18B053,6
AN16B078_c,6
AN07B072_e,6
DNge020,6
AN17A024,6
AN04A001,6
AN09B035,6
AN06B068,6
AN08B101,6
AN09B040,6
AN07B070,6
AN05B104,6
AN10B048,6
AN19B065,6
AN07B060,6
AN19B079,6
AN06A112,6
AN07B110,6
IN05B070,6
IN17A001,6
IN07B007,6
IN19A002,6
IN19A001,6
IN12B002,6
IN21A001,6
IN09A001,6
DVMn 1a-c,6
IN14A002,6
IN08A007,6
INXXX464,6
IN19B003,6
INXXX032,6
IN01A035,6
IN08A002,6
IN19A011,6
IN07B002,6
IN09A014,6
IN19B012,6
IN05B028,6
IN01A012,6
IN03A004,6
IN19A007,6
IN16B020,6
IN13A001,6
IN13B004,6
IN19A015,6
IN13A003,6
IN17A017,6
IN03A010,6
IN13A002,6
IN26X001,6
IN07B006,6
IN03A020,6
IN17A019,6
IN13B011,6
IN19A004,6
INXXX149,6
IN13A008,6
IN13A010,6
IN12B003,6
IN13A005,6
MNad07,6
IN06B008,6
IN19A005,6
IN13A007,6
IN17A007,6
IN09A002,6
IN16B074,6
IN13B001,6
IN21A008,6
IN04B008,6
IN16B016,6
IN21A002,6
IN13B005,6
IN21A019,6
IN03A006,6
IN14A006,6
IN03B021,6
IN01B003,6
IN13A009,6
IN19A003,6
IN13A012,6
IN21A014,6
IN03A007,6
IN09A003,6
IN01A011,6
IN08A006,6
IN11A028,6
IN21A004,6
IN03A040,6
IN13B013,6
IN19A032,6
IN13B021,6
IN21A016,6
IN09A018,6
IN13A006,6
IN19A084,6
IN19A020,6
IN14A001,6
IN21A003,6
IN09B008,6
IN14A008,6
IN01B002,6
IN19A029,6
IN08A005,6
IN13B009,6
INXXX100,6
IN16B032,6
IN08A008,6
IN01B008,6
IN12B007,6
IN16B018,6
IN13A018,6
IN20A.22A005,6
IN14A005,6
IN17A022,6
IN13B014,6
IN11A020,6
IN13B012,6
IN09A013,6
IN09B005,6
IN21A010,6
IN06A064,6
INXXX466,6
IN06B061,6
IN19A088_c,6
INXXX058,6
IN21A009,6
IN12B018,6
IN14A004,6
IN10B014,6
IN09B045,6
IN17A025,6
IN21A011,6
IN21A018,6
IN21A012,6
IN21A015,6
IN19A030,6
IN13B006,6
vMS12_a,6
IN01A023,6
IN14A007,6
IN23B024,6
IN13B023,6
IN08A022,6
IN18B021,6
IN21A020,6
IN14A011,6
IN21A007,6
IN09A017,6
IN26X002,6
IN01A015,6
IN08B040,6
IN16B036,6
IN01A039,6
IN17A041,6
IN01B012,6
IN14A012,6
IN21A006,6
IN14A010,6
IN20A.22A064,6
IN01A032,6
IN01A062_c,6
IN21A013,6
IN17A020,6
IN03B052,6
IN08B042,6
IN13A014,6
IN16B030,6
IN21A028,6
IN03A014,6
IN16B033,6
IN12B069,6
IN03A053,6
IN16B029,6
IN12B012,6
IN09A010,6
IN19A022,6
INXXX253,6
IN03B042,6
IN23B022,6
IN12B086,6
IN23B013,6
IN01B006,6
IN21A035,6
IN09A016,6
IN11B001,6
IN02A010,6
IN09A044,6
SNta13,6
IN07B029,6
IN00A011,6
IN14A009,6
IN23B014,6
IN01B007,6
IN20A.22A081,6
IN06A096,6
IN03A054,6
IN13B029,6
IN05B017,6
IN09A019,6
IN13A054,6
IN01A041,6
"IN17A080,IN17A083",6
INXXX402,6
IN09A031,6
IN06A125,6
INXXX405,6
IN09A012,6
IN19A021,6
IN03A085,6
IN16B125,6
IN06B076,6
IN19B056,6
IN01A031,6
IN20A.22A004,6
IN21A061,6
IN04B044,6
IN17A044,6
IN12B088,6
IN06A070,6
IN12B079_c,6
IN14A024,6
IN06B058,6
IN13A019,6
IN12A052_b,6
IN12B022,6
IN03A019,6
IN23B086,6
IN01A048,6
IN08A045,6
IN14A013,6
IN08B037,6
IN12A027,6
IN01A036,6
IN21A022,6
IN06B040,6
IN04B027,6
IN09A057,6
IN03A027,6
