roi,neuron_count
ME_L_col_13_12,886
ME_R_col_21_23,886
ME_R_col_28_25,886
ME_L_col_21_09,886
ME_L_col_20_20,886
ME_L_col_17_08,886
ME_L_col_15_14,886
ME_R_col_21_28,885
ME_L_col_22_23,885
ME_R_col_10_21,885
ME_R_col_23_33,885
ME_R_col_12_17,885
ME_L_col_18_21,885
ME_R_col_13_11,885
ME_R_col_12_07,885
ME_L_col_27_18,885
ME_L_col_14_09,885
ME_L_col_28_34,885
ME_R_col_18_25,885
ME_R_col_26_24,885
ME_R_col_09_09,884
ME_R_col_12_06,884
ME_L_col_18_07,884
ME_L_col_18_10,884
ME_L_col_21_20,884
ME_L_col_21_18,884
ME_R_col_11_10,883
ME_L_col_23_18,883
ME_R_col_12_22,883
ME_R_col_12_15,883
ME_L_col_24_10,883
ME_R_col_25_26,883
ME_L_col_29_21,882
ME_R_col_14_28,882
ME_L_col_12_28,882
ME_R_col_11_06,882
ME_R_col_13_24,882
ME_R_col_18_30,882
ME_R_col_27_32,882
ME_L_col_16_10,882
ME_L_col_15_31,882
ME_R_col_26_30,882
ME_R_col_17_06,881
ME_R_col_12_20,881
ME_R_col_08_23,881
ME_R_col_22_34,881
ME_R_col_10_16,881
ME_R_col_13_27,881
ME_L_col_15_09,881
ME_L_col_16_07,880
ME_L_col_15_21,880
ME_L_col_25_18,880
ME_R_col_22_24,880
ME_R_col_26_14,880
ME_L_col_21_19,880
ME_L_col_24_15,880
ME_R_col_13_18,880
ME_R_col_25_22,880
ME_R_col_09_14,880
ME_L_col_17_09,880
ME_R_col_26_22,880
ME_R_col_23_24,879
ME_R_col_14_27,879
ME_R_col_30_25,879
ME_L_col_24_16,879
ME_R_col_30_19,879
ME_R_col_15_20,879
ME_L_col_22_21,879
ME_R_col_18_07,879
ME_L_col_17_32,879
ME_R_col_12_23,879
ME_R_col_32_24,879
ME_R_col_23_31,878
ME_L_col_19_18,878
ME_L_col_26_22,878
ME_R_col_11_21,878
ME_R_col_25_28,878
ME_R_col_25_32,878
ME_R_col_30_29,878
ME_R_col_19_07,878
ME_L_col_17_20,878
ME_R_col_24_11,878
ME_R_col_23_25,878
ME_L_col_24_22,877
ME_R_col_32_26,877
ME_L_col_19_34,877
ME_L_col_26_29,877
ME_L_col_12_21,877
ME_R_col_12_19,877
ME_L_col_09_24,877
ME_R_col_28_31,877
ME_L_col_25_30,877
ME_L_col_29_19,876
ME_R_col_13_12,876
ME_R_col_22_30,876
ME_R_col_29_34,876
ME_L_col_28_23,876
ME_R_col_09_13,876
ME_L_col_11_10,875
ME_L_col_10_09,875
ME_R_col_28_17,875
ME_R_col_16_26,875
ME_R_col_26_35,875
ME_L_col_17_21,875
ME_R_col_13_21,875
ME_R_col_32_28,874
ME_R_col_24_22,874
ME_L_col_29_22,874
ME_R_col_21_33,874
ME_R_col_10_20,874
ME_L_col_28_19,874
ME_R_col_31_33,874
ME_R_col_15_21,874
ME_L_col_20_23,874
ME_R_col_17_31,874
ME_L_col_11_27,873
ME_R_col_15_09,873
ME_L_col_17_06,873
ME_L_col_30_23,873
ME_R_col_21_25,873
ME_L_col_27_19,873
ME_L_col_19_06,873
ME_L_col_31_33,873
ME_R_col_11_26,873
ME_L_col_30_19,872
ME_R_col_09_07,872
ME_L_col_16_31,872
ME_L_col_22_09,872
ME_R_col_13_23,872
ME_L_col_14_05,872
ME_R_col_19_32,872
ME_L_col_15_10,872
ME_R_col_11_22,872
ME_L_col_27_14,872
ME_R_col_31_27,872
ME_R_col_32_27,872
ME_L_col_32_32,871
ME_L_col_10_07,871
ME_L_col_14_19,871
ME_R_col_19_29,871
ME_R_col_18_29,871
ME_L_col_15_30,871
ME_R_col_26_13,871
ME_L_col_14_17,871
ME_R_col_29_18,871
ME_R_col_24_35,871
ME_L_col_22_26,871
ME_L_col_21_34,871
ME_L_col_29_24,870
ME_L_col_15_12,870
ME_L_col_11_14,870
ME_R_col_14_31,870
ME_R_col_11_07,870
ME_R_col_15_28,870
ME_L_col_12_11,870
ME_R_col_22_26,870
ME_L_col_28_30,870
ME_L_col_25_33,869
LO_R_col_25_21,869
ME_L_col_20_26,869
ME_R_col_22_33,869
ME_L_col_20_19,869
ME_L_col_12_27,868
ME_L_col_33_32,868
ME_L_col_25_20,868
ME_R_col_08_09,868
ME_L_col_16_32,868
ME_R_col_16_05,868
ME_L_col_28_31,868
ME_R_col_19_25,868
ME_R_col_11_11,868
ME_L_col_26_20,868
ME_R_col_13_22,868
ME_L_col_10_08,868
ME_R_col_22_25,867
ME_R_col_11_14,867
ME_R_col_21_29,867
ME_R_col_17_28,867
ME_R_col_26_23,867
ME_L_col_30_21,867
ME_R_col_20_07,867
ME_L_col_24_23,867
ME_L_col_30_25,866
ME_L_col_30_28,866
ME_L_col_19_07,866
ME_L_col_27_20,866
ME_R_col_12_10,866
ME_R_col_32_29,866
ME_L_col_19_33,866
ME_L_col_08_19,866
ME_L_col_30_29,866
ME_L_col_13_16,866
ME_R_col_24_29,866
ME_R_col_21_30,865
ME_R_col_15_29,865
ME_R_col_13_09,865
ME_R_col_12_13,865
ME_R_col_12_08,865
ME_L_col_13_23,865
ME_L_col_14_15,865
ME_R_col_33_29,865
ME_R_col_23_10,865
ME_L_col_19_25,865
ME_R_col_25_29,865
ME_R_col_10_08,865
ME_R_col_11_17,864
ME_R_col_32_33,864
ME_L_col_25_19,864
ME_R_col_22_29,864
ME_R_col_21_24,864
ME_R_col_27_31,864
ME_R_col_24_32,864
ME_R_col_20_31,864
ME_R_col_26_31,864
ME_L_col_33_33,863
ME_L_col_12_07,863
ME_L_col_25_26,863
ME_R_col_10_05,863
ME_R_col_23_34,863
ME_L_col_13_28,863
ME_R_col_30_18,863
